stats_type,popgrp,age_group_m3,Prov_En_1990,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,70,0_14,Shanxi,0.00408244315435452,0.17103797187204023,0.31465788480749535,23
within-group,73,0_14,Sichuan,0.01337774208945019,0.29951106828283375,0.31465788480749535,23
within-group,76,0_14,Tianjin,0.00134811687091403,0.2520350570620199,0.31465788480749535,23
within-group,79,0_14,Tibet,6.44329308226729e-4,0.01374308597435861,0.31465788480749535,23
within-group,82,0_14,Xinjiang,0.0041901189572254496,0.18297858794654712,0.31465788480749535,23
within-group,85,0_14,Yunnan,0.006666392519298,0.219108366549985,0.31465788480749535,23
within-group,88,0_14,Zhejiang,0.00606367244250025,0.3652166341264652,0.31465788480749535,23
within-group,1,0_14,Anhui,0.00815903213514205,0.29916758205212063,0.28663290952641124,24
within-group,4,0_14,Beijing,0.00187020855252295,0.20867507501121643,0.28663290952641124,24
within-group,7,0_14,Fujian,0.00576178991622385,0.423783570947603,0.28663290952641124,24
within-group,10,0_14,Gansu,0.00347206328980528,0.09781901231458982,0.28663290952641124,24
within-group,13,0_14,Guangdong,0.01713953789737434,0.5400593150755321,0.28663290952641124,24
within-group,16,0_14,Guangxi,0.00854635802776593,0.47558364147352666,0.28663290952641124,24
within-group,19,0_14,Guizhou,0.00666968621359777,0.1754834995515827,0.28663290952641124,24
within-group,22,0_14,Hainan,0.00145309002585493,0.620480985876927,0.28663290952641124,24
within-group,25,0_14,Hebei,0.01047287258744416,0.2310526720254844,0.28663290952641124,24
within-group,28,0_14,Heilongjiang,0.00234773793585919,0.10326482159278765,0.28663290952641124,24
within-group,31,0_14,Henan,0.0158942652598008,0.2721321193093934,0.28663290952641124,24
within-group,34,0_14,Hubei,0.0067778895560246,0.3153959758111665,0.28663290952641124,24
within-group,37,0_14,Hunan,0.00922473636990096,0.35743681009826406,0.28663290952641124,24
within-group,40,0_14,Inner Mongolia,0.0023695344847058,0.10709484430239656,0.28663290952641124,24
within-group,43,0_14,Jiangsu,0.00900905712673314,0.27512988289762896,0.28663290952641124,24
within-group,46,0_14,Jiangxi,0.00716065594808189,0.3978377072108677,0.28663290952641124,24
within-group,49,0_14,Jilin,0.00184261845024983,0.11430000340035935,0.28663290952641124,24
within-group,52,0_14,Liaoning,0.00341922056900947,0.14222278057330995,0.28663290952641124,24
within-group,55,0_14,Ningxia,0.00105941200851006,0.12860163099930494,0.28663290952641124,24
within-group,58,0_14,Qinghai,8.897853087352225e-4,0.03020517230014006,0.28663290952641124,24
within-group,61,0_14,Shaanxi,0.00494501940169968,0.17529572003782376,0.28663290952641124,24
within-group,64,0_14,Shandong,0.0132681820105458,0.23438767531458804,0.28663290952641124,24
within-group,67,0_14,Shanghai,0.00175819768793889,0.2738200143682726,0.28663290952641124,24
within-group,70,0_14,Shanxi,0.00408244315435452,0.15221283858822054,0.28663290952641124,24
within-group,73,0_14,Sichuan,0.01337774208945019,0.2666179882209402,0.28663290952641124,24
within-group,76,0_14,Tianjin,0.00134811687091403,0.2269320396035567,0.28663290952641124,24
within-group,79,0_14,Tibet,6.44329308226729e-4,0.00697462509629569,0.28663290952641124,24
within-group,82,0_14,Xinjiang,0.0041901189572254496,0.16617906783302314,0.28663290952641124,24
within-group,85,0_14,Yunnan,0.006666392519298,0.1886105605717466,0.28663290952641124,24
within-group,88,0_14,Zhejiang,0.00606367244250025,0.33310661677493963,0.28663290952641124,24
within-group,1,0_14,Anhui,0.00815903213514205,0.26849529370279634,0.2584204727556618,25
within-group,4,0_14,Beijing,0.00187020855252295,0.18564813520086024,0.2584204727556618,25
within-group,7,0_14,Fujian,0.00576178991622385,0.3790643816037113,0.2584204727556618,25
within-group,10,0_14,Gansu,0.00347206328980528,0.08320038430887648,0.2584204727556618,25
within-group,13,0_14,Guangdong,0.01713953789737434,0.5050659681443153,0.2584204727556618,25
within-group,16,0_14,Guangxi,0.00854635802776593,0.4359936643308549,0.2584204727556618,25
within-group,19,0_14,Guizhou,0.00666968621359777,0.1490380500660489,0.2584204727556618,25
within-group,22,0_14,Hainan,0.00145309002585493,0.5781241573441859,0.2584204727556618,25
within-group,25,0_14,Hebei,0.01047287258744416,0.20769035963520763,0.2584204727556618,25
within-group,28,0_14,Heilongjiang,0.00234773793585919,0.0893682024319152,0.2584204727556618,25
within-group,31,0_14,Henan,0.0158942652598008,0.24392898682732075,0.2584204727556618,25
within-group,34,0_14,Hubei,0.0067778895560246,0.28569136867942385,0.2584204727556618,25
within-group,37,0_14,Hunan,0.00922473636990096,0.3239297515721258,0.2584204727556618,25
within-group,40,0_14,Inner Mongolia,0.0023695344847058,0.09429096541193176,0.2584204727556618,25
within-group,43,0_14,Jiangsu,0.00900905712673314,0.24532246634228205,0.2584204727556618,25
within-group,46,0_14,Jiangxi,0.00716065594808189,0.3638638316826723,0.2584204727556618,25
within-group,49,0_14,Jilin,0.00184261845024983,0.0995784726607362,0.2584204727556618,25
within-group,52,0_14,Liaoning,0.00341922056900947,0.12336406838690885,0.2584204727556618,25
within-group,55,0_14,Ningxia,0.00105941200851006,0.11479123884881252,0.2584204727556618,25
within-group,58,0_14,Qinghai,8.897853087352225e-4,0.02042996245743292,0.2584204727556618,25
within-group,61,0_14,Shaanxi,0.00494501940169968,0.15457361818180854,0.2584204727556618,25
within-group,64,0_14,Shandong,0.0132681820105458,0.20965042789861,0.2584204727556618,25
within-group,67,0_14,Shanghai,0.00175819768793889,0.24170773028082407,0.2584204727556618,25
within-group,70,0_14,Shanxi,0.00408244315435452,0.13433194721664724,0.2584204727556618,25
within-group,73,0_14,Sichuan,0.01337774208945019,0.2340266996327532,0.2584204727556618,25
within-group,76,0_14,Tianjin,0.00134811687091403,0.20468855124523871,0.2584204727556618,25
within-group,79,0_14,Tibet,6.44329308226729e-4,0.00301924223033423,0.2584204727556618,25
within-group,82,0_14,Xinjiang,0.0041901189572254496,0.15026371393548218,0.2584204727556618,25
within-group,85,0_14,Yunnan,0.006666392519298,0.16023429390951532,0.2584204727556618,25
within-group,88,0_14,Zhejiang,0.00606367244250025,0.29931253888636095,0.2584204727556618,25
within-group,1,0_14,Anhui,0.00815903213514205,0.2384379951682699,0.2295685872242419,26
within-group,4,0_14,Beijing,0.00187020855252295,0.16445409843399117,0.2295685872242419,26
within-group,7,0_14,Fujian,0.00576178991622385,0.33088648839047596,0.2295685872242419,26
within-group,10,0_14,Gansu,0.00347206328980528,0.06932204602504174,0.2295685872242419,26
within-group,13,0_14,Guangdong,0.01713953789737434,0.46325709205998983,0.2295685872242419,26
within-group,16,0_14,Guangxi,0.00854635802776593,0.3887812164708525,0.2295685872242419,26
within-group,19,0_14,Guizhou,0.00666968621359777,0.12657475394791176,0.2295685872242419,26
within-group,22,0_14,Hainan,0.00145309002585493,0.528029922878267,0.2295685872242419,26
within-group,25,0_14,Hebei,0.01047287258744416,0.18514671623651485,0.2295685872242419,26
within-group,28,0_14,Heilongjiang,0.00234773793585919,0.07658359828284361,0.2295685872242419,26
within-group,31,0_14,Henan,0.0158942652598008,0.21657643083952047,0.2295685872242419,26
within-group,34,0_14,Hubei,0.0067778895560246,0.2560636997850066,0.2295685872242419,26
within-group,37,0_14,Hunan,0.00922473636990096,0.288062731763271,0.2295685872242419,26
within-group,40,0_14,Inner Mongolia,0.0023695344847058,0.08165611190269366,0.2295685872242419,26
within-group,43,0_14,Jiangsu,0.00900905712673314,0.21679290376909827,0.2295685872242419,26
within-group,46,0_14,Jiangxi,0.00716065594808189,0.3270769738161208,0.2295685872242419,26
within-group,49,0_14,Jilin,0.00184261845024983,0.08603288554407669,0.2295685872242419,26
within-group,52,0_14,Liaoning,0.00341922056900947,0.1056351625131511,0.2295685872242419,26
within-group,55,0_14,Ningxia,0.00105941200851006,0.10077787835945087,0.2295685872242419,26
within-group,58,0_14,Qinghai,8.897853087352225e-4,0.01283644926839285,0.2295685872242419,26
within-group,61,0_14,Shaanxi,0.00494501940169968,0.13585474969832778,0.2295685872242419,26
within-group,64,0_14,Shandong,0.0132681820105458,0.18633796536461739,0.2295685872242419,26
within-group,67,0_14,Shanghai,0.00175819768793889,0.20775835089988665,0.2295685872242419,26
within-group,70,0_14,Shanxi,0.00408244315435452,0.11728242102703625,0.2295685872242419,26
within-group,73,0_14,Sichuan,0.01337774208945019,0.2023308070460442,0.2295685872242419,26
within-group,76,0_14,Tianjin,0.00134811687091403,0.18192934998082813,0.2295685872242419,26
within-group,79,0_14,Tibet,6.44329308226729e-4,0.00103111612955532,0.2295685872242419,26
within-group,82,0_14,Xinjiang,0.0041901189572254496,0.13479037899146012,0.2295685872242419,26
within-group,85,0_14,Yunnan,0.006666392519298,0.13289084022918948,0.2295685872242419,26
within-group,88,0_14,Zhejiang,0.00606367244250025,0.26237329156751876,0.2295685872242419,26
within-group,1,0_14,Anhui,0.00815903213514205,0.2101734643842348,0.20040558945752737,27
within-group,4,0_14,Beijing,0.00187020855252295,0.14485217363913508,0.20040558945752737,27
within-group,7,0_14,Fujian,0.00576178991622385,0.2807986757844934,0.20040558945752737,27
within-group,10,0_14,Gansu,0.00347206328980528,0.05641312785607197,0.20040558945752737,27
within-group,13,0_14,Guangdong,0.01713953789737434,0.41162473870454114,0.20040558945752737,27
within-group,16,0_14,Guangxi,0.00854635802776593,0.33322947564628114,0.20040558945752737,27
within-group,19,0_14,Guizhou,0.00666968621359777,0.10651298887438251,0.20040558945752737,27
within-group,22,0_14,Hainan,0.00145309002585493,0.4673978542402393,0.20040558945752737,27
within-group,25,0_14,Hebei,0.01047287258744416,0.1647221916217885,0.20040558945752737,27
within-group,28,0_14,Heilongjiang,0.00234773793585919,0.06447637718649082,0.20040558945752737,27
within-group,31,0_14,Henan,0.0158942652598008,0.19170183574913355,0.20040558945752737,27
within-group,34,0_14,Hubei,0.0067778895560246,0.2271511012485248,0.20040558945752737,27
within-group,37,0_14,Hunan,0.00922473636990096,0.2525759653058254,0.20040558945752737,27
within-group,40,0_14,Inner Mongolia,0.0023695344847058,0.06929617466872104,0.20040558945752737,27
within-group,43,0_14,Jiangsu,0.00900905712673314,0.18967494170139443,0.20040558945752737,27
within-group,46,0_14,Jiangxi,0.00716065594808189,0.28900691926515265,0.20040558945752737,27
within-group,49,0_14,Jilin,0.00184261845024983,0.07303799087087809,0.20040558945752737,27
within-group,52,0_14,Liaoning,0.00341922056900947,0.0889499840948172,0.20040558945752737,27
within-group,55,0_14,Ningxia,0.00105941200851006,0.0873343272412704,0.20040558945752737,27
within-group,58,0_14,Qinghai,8.897853087352225e-4,0.00700379038805196,0.20040558945752737,27
within-group,61,0_14,Shaanxi,0.00494501940169968,0.1188107124261851,0.20040558945752737,27
within-group,64,0_14,Shandong,0.0132681820105458,0.1645660257503943,0.20040558945752737,27
within-group,67,0_14,Shanghai,0.00175819768793889,0.17405601258193534,0.20040558945752737,27
within-group,70,0_14,Shanxi,0.00408244315435452,0.10097799952305912,0.20040558945752737,27
within-group,73,0_14,Sichuan,0.01337774208945019,0.17302047266098364,0.20040558945752737,27
within-group,76,0_14,Tianjin,0.00134811687091403,0.16068558254711454,0.20040558945752737,27
within-group,79,0_14,Tibet,6.44329308226729e-4,3.562048446743771e-4,0.20040558945752737,27
within-group,82,0_14,Xinjiang,0.0041901189572254496,0.11983482676161096,0.20040558945752737,27
within-group,85,0_14,Yunnan,0.006666392519298,0.10674775585808904,0.20040558945752737,27
within-group,88,0_14,Zhejiang,0.00606367244250025,0.22388923003317884,0.20040558945752737,27
within-group,1,0_14,Anhui,0.00815903213514205,0.1841385556668545,0.1717323714240284,28
within-group,4,0_14,Beijing,0.00187020855252295,0.1271567256403236,0.1717323714240284,28
within-group,7,0_14,Fujian,0.00576178991622385,0.23507545686504663,0.1717323714240284,28
within-group,10,0_14,Gansu,0.00347206328980528,0.04439819123716182,0.1717323714240284,28
within-group,13,0_14,Guangdong,0.01713953789737434,0.349502781802885,0.1717323714240284,28
within-group,16,0_14,Guangxi,0.00854635802776593,0.2785650105161224,0.1717323714240284,28
within-group,19,0_14,Guizhou,0.00666968621359777,0.08753680943517014,0.1717323714240284,28
within-group,22,0_14,Hainan,0.00145309002585493,0.3974201387613168,0.1717323714240284,28
within-group,25,0_14,Hebei,0.01047287258744416,0.14580852175964562,0.1717323714240284,28
within-group,28,0_14,Heilongjiang,0.00234773793585919,0.05330396979275261,0.1717323714240284,28
within-group,31,0_14,Henan,0.0158942652598008,0.16946392283820316,0.1717323714240284,28
within-group,34,0_14,Hubei,0.0067778895560246,0.1983885737243188,0.1717323714240284,28
within-group,37,0_14,Hunan,0.00922473636990096,0.2194527771027821,0.1717323714240284,28
within-group,40,0_14,Inner Mongolia,0.0023695344847058,0.05752739190688048,0.1717323714240284,28
within-group,43,0_14,Jiangsu,0.00900905712673314,0.16460584419062352,0.1717323714240284,28
within-group,46,0_14,Jiangxi,0.00716065594808189,0.25171461980740367,0.1717323714240284,28
within-group,49,0_14,Jilin,0.00184261845024983,0.06116583210765736,0.1717323714240284,28
within-group,52,0_14,Liaoning,0.00341922056900947,0.07344104514347055,0.1717323714240284,28
within-group,55,0_14,Ningxia,0.00105941200851006,0.07405981619237517,0.1717323714240284,28
within-group,58,0_14,Qinghai,8.897853087352225e-4,0.0035341311334932,0.1717323714240284,28
within-group,61,0_14,Shaanxi,0.00494501940169968,0.10268308151303156,0.1717323714240284,28
within-group,64,0_14,Shandong,0.0132681820105458,0.14475074412138414,0.1717323714240284,28
within-group,67,0_14,Shanghai,0.00175819768793889,0.14433687196713127,0.1717323714240284,28
within-group,70,0_14,Shanxi,0.00408244315435452,0.08550266666918623,0.1717323714240284,28
