stats_type,popgrp,age_group_m3,Prov_En_1990,popgrp_mass,expo_grp_mean,expo_overall_mean,fl_temp_bound
within-group,43,0_14,Jiangsu,0.00900905712673314,0.9834375304200332,0.9552021906294942,-13
within-group,46,0_14,Jiangxi,0.00716065594808189,0.9975975020997214,0.9552021906294942,-13
within-group,49,0_14,Jilin,0.00184261845024983,0.7354514706421285,0.9552021906294942,-13
within-group,52,0_14,Liaoning,0.00341922056900947,0.8095292191914196,0.9552021906294942,-13
within-group,55,0_14,Ningxia,0.00105941200851006,0.8548270313772055,0.9552021906294942,-13
within-group,58,0_14,Qinghai,8.897853087352225e-4,0.7773768616784216,0.9552021906294942,-13
within-group,61,0_14,Shaanxi,0.00494501940169968,0.9622868627706578,0.9552021906294942,-13
within-group,64,0_14,Shandong,0.0132681820105458,0.9636818008852076,0.9552021906294942,-13
within-group,67,0_14,Shanghai,0.00175819768793889,0.985402579764659,0.9552021906294942,-13
within-group,70,0_14,Shanxi,0.00408244315435452,0.9044292668762534,0.9552021906294942,-13
within-group,73,0_14,Sichuan,0.01337774208945019,0.9947564704524668,0.9552021906294942,-13
within-group,76,0_14,Tianjin,0.00134811687091403,0.9082599882777072,0.9552021906294942,-13
within-group,79,0_14,Tibet,6.44329308226729e-4,0.7283028376192314,0.9552021906294942,-13
within-group,82,0_14,Xinjiang,0.0041901189572254496,0.8401022595672593,0.9552021906294942,-13
within-group,85,0_14,Yunnan,0.006666392519298,0.9994319816564176,0.9552021906294942,-13
within-group,88,0_14,Zhejiang,0.00606367244250025,0.9949978090550224,0.9552021906294942,-13
within-group,1,0_14,Anhui,0.00815903213514205,0.9848019764830218,0.9494411076277758,-12
within-group,4,0_14,Beijing,0.00187020855252295,0.8937986411612306,0.9494411076277758,-12
within-group,7,0_14,Fujian,0.00576178991622385,0.9995686901643492,0.9494411076277758,-12
within-group,10,0_14,Gansu,0.00347206328980528,0.8772132137060372,0.9494411076277758,-12
within-group,13,0_14,Guangdong,0.01715405353434751,0.9994013143511068,0.9494411076277758,-12
within-group,16,0_14,Guangxi,0.00854635802776593,0.9995808365666176,0.9494411076277758,-12
within-group,19,0_14,Guizhou,0.00666968621359777,0.9962887289835254,0.9494411076277758,-12
within-group,22,0_14,Hainan,0.00143857438888176,1,0.9494411076277758,-12
within-group,25,0_14,Hebei,0.01047287258744416,0.9160908969156708,0.9494411076277758,-12
within-group,28,0_14,Heilongjiang,0.00234773793585919,0.6904431265100659,0.9494411076277758,-12
within-group,31,0_14,Henan,0.0158942652598008,0.9806696801484136,0.9494411076277758,-12
within-group,34,0_14,Hubei,0.0067778895560246,0.9926485594005642,0.9494411076277758,-12
within-group,37,0_14,Hunan,0.00922473636990096,0.994801358423836,0.9494411076277758,-12
within-group,40,0_14,Inner Mongolia,0.0023695344847058,0.7161881598433798,0.9494411076277758,-12
within-group,43,0_14,Jiangsu,0.00900905712673314,0.9791631595550924,0.9494411076277758,-12
within-group,46,0_14,Jiangxi,0.00716065594808189,0.9967445127655165,0.9494411076277758,-12
within-group,49,0_14,Jilin,0.00184261845024983,0.7185971220903197,0.9494411076277758,-12
