daily_time,utci_thres,year_1990,year_2020,cdf_percpoint_chg,cdf_percent_chg
1G_6t22,20,0.4398881343224769,0.467654542116785,0.027766407794308057,0.06312152028622992
1G_6t22,21,0.41172202684395576,0.4388504866804731,0.02712845983651735,0.06589023192290643
1G_6t22,22,0.3828001210008289,0.4097625097727955,0.026962388771966606,0.07043464014973032
1G_6t22,23,0.3534319495061026,0.3805490926014653,0.027117143095362672,0.07672521721156521
1G_6t22,24,0.32348891707956823,0.35098797309515284,0.02749905601558461,0.08500772225473399
1G_6t22,25,0.2928368527867435,0.3212382906833235,0.028401437896580006,0.09698723922997209
1G_6t22,26,0.2621263076331332,0.29085521536302106,0.028728907729887843,0.10959948274286246
1G_6t22,27,0.23207287753143355,0.25990405453363796,0.027831177002204416,0.11992429834216525
1G_6t22,28,0.20375528293334855,0.22927976201689895,0.025524479083550405,0.12527026890340728
1G_6t22,29,0.17728394423634297,0.19994783474921923,0.02266389051287626,0.12783949844133824
1G_6t22,30,0.1524941272223631,0.17262078111517018,0.020126653892807073,0.13198314098653052
1G_6t22,31,0.12926052350174794,0.14714858493335192,0.017888061431603985,0.13838766041638453
1G_6t22,32,0.10754600107467,0.12343724167817322,0.01589124060350322,0.14776226400524006
1G_6t22,33,0.08709276986683583,0.10111257603914124,0.014019806172305416,0.16097554588907428
1G_6t22,34,0.06838953092392254,0.08034386631105206,0.01195433538712952,0.1747977391514454
1G_6t22,35,0.05168633541866714,0.06102590535989473,0.009339569941227588,0.18069708106747476
1G_6t22,36,0.03721619056264091,0.04366646895902192,0.006450278396381008,0.1733191468246633
1G_6t22,37,0.02515604990492886,0.02895952830882414,0.003803478403895281,0.15119537519879303
1G_6t22,38,0.01570871651486547,0.01738245303879102,0.0016737365239255508,0.10654826715738747
1G_6t22,39,0.00880620791218314,0.00939250517874524,5.862972665621e-4,0.06657772248949226
1G_6t22,40,0.0044017048734654,0.00441152116210742,9.816288642020173e-6,0.0022301105876487235
